Departamento,Municipio,Estado,Topografia,Drenaje,Materia orgánica (MO) %,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,Produccion,Rendimiento
66.0,66682.0,2.0,9.0,20.0,9.575968983463492,0.3933627957912608,2.49311132,0.24630606,6.019,2.0250000000000004,2.127,0.185324106,11.0,525.0,50.0
25.0,25736.0,2.0,11.0,20.0,18.01313916852411,2.708453567395924,1.59744,0.0272,2.2,9.2,1.4,4.01,0.0,0.0,0.0
25.0,11001.0,2.0,9.0,21.0,0.8839709863577782,0.3861763072697928,0.8752458800000001,0.06746145,1.0,1.0,1.0,0.1719421649081672,0.0,0.0,0.0
52.0,52560.0,3.0,11.0,21.0,14.372433551352586,1.1553536251749397,2.821926644,0.14,14.578231292517009,65.85,7.782312925170068,0.1158590475146112,0.0,0.0,0.0
25.0,25178.0,3.0,10.0,20.0,12.77,2.176496868,1.83481048,0.14,4.086,13.432,1.95,0.1181891025641025,5.0,24.0,5.0
85.0,85250.0,2.0,11.0,21.0,3.837156303687943,2.762044898565005,0.59,0.14,1.0,1.0,1.0,0.019057115,60.0,720.0,12.0
25.0,25320.0,3.0,10.0,20.0,1.529929839516413,6.254552468187884,4.0752950100000005,0.14,1.0,7.896,1.986,0.199074074,10.0,150.0,15.0
50.0,50330.0,3.0,9.0,22.0,5.583960326990403,3.987455586572406,0.59,0.14,1.5787187839305106,6.233441910966343,1.0,0.2772896480729719,136.0,2.617,19.19
23.0,23580.0,3.0,10.0,20.0,4.011351947633019,0.1499182873360158,9.64878436,0.12372717,7.017,17.608999999999998,2.758,0.095927956,0.0,0.0,0.0
15.0,15087.0,2.0,9.0,20.0,7.342324554053743,1.2769152083007491,5.595666930000001,0.10573745,4.09,6.21,1.239,0.2685252744642221,0.0,0.0,0.0
68.0,68770.0,3.0,11.0,23.0,2.888732406825452,0.9944746617765314,0.59,0.14,1.0,1.0,1.0,0.1232188220907365,600.0,6.0,10.0
