Fertilizante,Tipo,numero
",24-6-25",orgánico-minerales,37
",25-4-24",orgánico-minerales,37
.17-6-18,orgánico-minerales,37
.25-4-24,orgánico-minerales,37
.25-4-25,orgánico-minerales,37
0-0-40,orgánico-minerales,37
10-10-10 y DAP,orgánico-minerales,37
10-10-30 y 15-15-15,orgánico-minerales,37
10-12-24 y 10-20-20,orgánico-minerales,37
10-15-10,orgánico-minerales,37
10-15-10 y MAP,orgánico-minerales,37
10-15-15,orgánico-minerales,37
"10-15-20, Yeso y Menores",orgánico-minerales,37
10-20-10,orgánico-minerales,37
10-20-10 y 13-26-6,orgánico-minerales,37
10-20-20,orgánico-minerales,37
10-20-20 y 12-24-12,orgánico-minerales,37
10-20-20 y 13-26-10,orgánico-minerales,37
10-20-20 y 13-26-6,orgánico-minerales,37
10-20-20 y 15-15-15,orgánico-minerales,37
10-20-20 y Abono orgánico,orgánico-minerales,37
10-20-20 y Cal,orgánico-minerales,37
10-20-20 y Cal dolomita,orgánico-minerales,37
10-20-20 y DAP,orgánico-minerales,37
10-20-20 y gallinaza,orgánico-minerales,37
10-20-20 y Humus liquido,orgánico-minerales,37
10-20-20 y KCl,orgánico-minerales,37
10-20-20 y Menores,orgánico-minerales,37
10-20-20 y Nitrato de amonio,orgánico-minerales,37
10-20-20 y Urea,orgánico-minerales,37
"10-20-20, 10-30-10 y Cal",orgánico-minerales,37
"10-20-20, 10-30-10, 12-21-21 y Menores",orgánico-minerales,37
"10-20-20, 13-26-6 y Menores",orgánico-minerales,37
"10-20-20, 17-6-18-2 y DAP",orgánico-minerales,37
"10-20-20, Abono orgánico y Cal dolomita",orgánico-minerales,37
"10-20-20, DAP, KCl, Sulfato de potasio y Menores",orgánico-minerales,37
"10-20-20, Gallinaza y Menores",orgánico-minerales,37
"10-20-20, Menores y Cal dolomita",orgánico-minerales,37
"10-20-20, Sulfato de potasio y Menores",orgánico-minerales,37
"10-20-20, Urea, menores y Abono orgánico",orgánico-minerales,37
10-20-30,orgánico-minerales,37
10-20-30 y 18-18-18,orgánico-minerales,37
10-20-30 y 26-0-0,orgánico-minerales,37
10-20-30 y Menores,orgánico-minerales,37
"10-20-30, 25-4-24",orgánico-minerales,37
"10-20-30, Fertilizantes para uso en fertirriego  y abono organico",orgánico-minerales,37
"10-24-12, Cal dolomita y Micorrizas",orgánico-minerales,37
10-30-1 y Urea,orgánico-minerales,37
10-30-10,orgánico-minerales,37
"10-30-10 , 15-15-15, KCl y DAP",orgánico-minerales,37
10-30-10 y 10-20-20,orgánico-minerales,37
10-30-10 y 10-30-30,orgánico-minerales,37
10-30-10 y 12-24-12,orgánico-minerales,37
10-30-10 y 13-26-6,orgánico-minerales,37
10-30-10 y 15-15-15,orgánico-minerales,37
10-30-10 y 15-4-23,orgánico-minerales,37
10-30-10 y 17-6-18-2,orgánico-minerales,37
10-30-10 y 18-18-18,orgánico-minerales,37
10-30-10 y 25-4-24,orgánico-minerales,37
10-30-10 y Abono orgánico,orgánico-minerales,37
10-30-10 y Borax,orgánico-minerales,37
10-30-10 y Boro,orgánico-minerales,37
10-30-10 y Cal,orgánico-minerales,37
10-30-10 y Cal dolomita,orgánico-minerales,37
10-30-10 y Calfos,orgánico-minerales,37
10-30-10 y DAP,orgánico-minerales,37
10-30-10 y Gallinaza,orgánico-minerales,37
10-30-10 y KCl,orgánico-minerales,37
10-30-10 y Menores,orgánico-minerales,37
10-30-10 y Nitrato de amonio,orgánico-minerales,37
10-30-10 y Nitrato de potasio,orgánico-minerales,37
10-30-10 y Sulfato de Amonio,orgánico-minerales,37
10-30-10 y Urea,orgánico-minerales,37
"10-30-10, 10-20-20, Urea, KCl y DAP",orgánico-minerales,37
"10-30-10, 10-26-6, 17-6-18-2 y DAP",orgánico-minerales,37
"10-30-10, 12-24-12 y Abono orgánico",orgánico-minerales,37
"10-30-10, 15-15-15 y Abono orgánico",orgánico-minerales,37
"10-30-10, 15-15-15 y Sulfato de potasio",orgánico-minerales,37
"10-30-10, 15-15-15 y Urea",orgánico-minerales,37
"10-30-10, 15-15-15, urea",orgánico-minerales,37
"10-30-10, 15-4-23 y KCl",orgánico-minerales,37
"10-30-10, 15-4-23, Urea y KCl",orgánico-minerales,37
