Departamento,Municipio,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,T_max,T_pro,P_max,Cultivo
50,50006,4.52,1.509147488,10.10471204,2.702921488,1.2472144,0.10305813,0.1310432,626.978,1.192,2.353,0.152360515,0,0,0,0,0,0,0,Aguacate
50,50006,5.15,2.098749138,5.261780105,1.234164151,1.64168987,0.14,0.1616904,415.316,2.743,8.691,0.152360515,0,0,0,0,0,0,0,Cacao
50,50006,4.79,1.222104579,3.298429319,1.387159707,2.0168423,0.10583314,0.1173048,324.654,1.781,3.524,0.173819742,0,0,0,0,0,0,0,Cacao
50,50006,5.04,0.725597926,6.178010471,10.88308388,1.75751832,0.15415659,0.089828,67.511,1.927,17.209,0.173819742,0,0,0,0,0,0,0,Cacao
50,50006,5.14,0.573025569,3.821989529,11.55626432,1.92308164,0.11119178,0.0903564,52.258,1.859,17.108,0.10944206,0,0,0,0,0,0,0,Cacao
50,50006,4.78,0.798005146,5.654450262,2.600924451,0.55,0.14,0.0956404,335.027,1,3.927,0.216738197,0,0,0,0,0,0,0,Cacao
50,50006,5.17,1.333301381,3.167539267,3.702492453,2.56304755,0.14,0.1104356,386.254,1.139,4.128,0.130901288,0,0,0,0,0,0,0,Cacao
50,50006,4.82,1.89704331,2.905759162,8.210761501,0.55,0.14,0.1114924,348.777,2.824,17.587,0.10944206,0,0,0,0,0,0,0,Cacao
50,50006,4.52,1.75222887,8.926701571,1.795147856,0.55,0.14,0.1685596,696.773,1.046,4.783,0.152360515,0,0,0,0,0,0,0,Aguacate
50,50006,4.7,1.162627219,3.036649215,8.567751132,1.67748141,0.16764888,0.1236456,249.612,2.343,11.12,0.10944206,0,0,0,0,0,0,0,Cacao
50,50006,4.63,1.413466518,4.607329843,2.458128599,1.54507467,0.14,0.1146628,572.484,1.808,5.117,0.216738197,0,0,0,0,0,0,0,Cacao
50,50006,5.08,1.682407622,3.298429319,3.376101934,5.06768682,0.37520049,0.1828264,331.111,3.147,8.843,0.10944206,0,0,0,0,0,0,0,Cacao
50,50006,4.73,1.2479643,2.905759162,7.925169797,0.8113481,0.14,0.10568,427.658,2.494,3.14,0.10944206,0,0,0,0,0,0,0,Cacao
15,15299,5.06,2.380620103,3.167539267,2.468328302,0.94649959,0.14,0.100396,404.756,1,2.849,0.087982833,0,0,0,0,0,0,0,Aguacate
85,85279,4.52,1.819464146,2.905759162,6.53801009,1.41826722,0.11119178,0.0940552,990.539,1,1,0.087982833,42,42,294,7,0,0,0,Frutales
50,20770,5.02,2.68729054,4.476439791,1.693150819,1.98094097,0.10956505,0.1194184,258.335,1.101,2.303,0.087982833,0,0,0,0,0,0,0,Frutales
