Departamento,Municipio,Cultivo,Estado,Topografia,Drenaje,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Fósforo (P) Bray II mg/kg,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Aluminio (Al) intercambiable cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Magnesio (Mg) intercambiable cmol(+)/kg,Potasio (K) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,capacidad de intercambio cationico (CICE) suma de bases cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,T_max,T_pro,P_max
50,50006,Aguacate,ESTABLECIDO,Plano,Regular,4.52,1.509147487642441,36.19243943661972,10.104712041884818,2.7029214880676475,2.5125270184679134,1.2472144,0.2930875699999999,0.079000272,0.10305813,4.425281860067647,0.1310432,626.9780000000001,1.192,2.353,1,0.1523605150214592,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Plano,Bueno,5.15,2.0987491380862053,12.096664788732394,5.261780104712042,1.2341641511554162,1.0050108073871653,1.6416898700000002,0.4574628099999999,0.11338002,0.14,3.546696851155416,0.1616903999999999,415.316,2.743,8.690999999999999,14.761,0.1523605150214592,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Plano,Bueno,4.79,1.222104578873766,7.819481690140844,3.298429319371728,1.3871597070837736,1.1155619961997538,2.0168423,0.37980094,0.096555888,0.10583314,3.9861919750837735,0.1173048,324.654,1.781,3.524,1.724,0.1738197424892703,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Regular,5.04,0.7255979258684907,3.8938478873239433,6.178010471204188,10.883083878370488,9.145598347223205,1.7575183200000002,0.99240646,0.176850324,0.1541565899999999,13.964015572370489,0.089828,67.511,1.927,17.209,4.3,0.1738197424892703,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Regular,5.14,0.5730255689554113,3.864552112676056,3.821989528795812,11.55626432445526,9.296349968,1.92308164,1.53622058,0.1679037119999999,0.1111917799999999,15.29466203645526,0.0903564,52.258,1.859,17.108,6.059,0.1094420600858369,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Bueno,4.78,0.7980051460984265,7.336101408450704,5.654450261780105,2.600924450782076,2.401975829655325,0.55,0.26738131,0.097681248,0.14,3.615987008782076,0.0956404,335.02700000000004,1,3.927,1,0.2167381974248927,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Regular,5.17,1.3333013813697392,3.527650704225352,3.167539267015707,3.702492453466249,3.3466859885992606,2.56304755,0.95095059,0.081476064,0.14,7.397966657466249,0.1104355999999999,386.254,1.139,4.128,1,0.130901288,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Regular,4.82,1.8970433103028124,3.87,2.905759162303665,8.210761501488513,7.105426408,0.55,0.25670054,0.185065452,0.14,9.302527493488512,0.1114924,348.77700000000004,2.824,17.587,1,0.1094420600858369,0,0,0,0,0,0,0
50,50006,Aguacate,ESTABLECIDO,Plano,Bueno,4.52,1.75222887,10.998073239436618,8.926701570680628,1.795147856,1.5577667514501063,0.55,0.3149922,0.1080908279999999,0.14,2.868230884,0.1685595999999999,696.773,1.046,4.783,1,0.1523605150214592,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Regular,4.7,1.1626272193991756,3.87,3.0366492146596857,8.567751131988013,8.180787972131526,1.6774814100000002,0.4245153499999999,0.138925692,0.16764888,10.976322463988012,0.1236456,249.612,2.343,11.12,1.026,0.1094420600858369,0,0,0,0,0,0,0
