Departamento,Municipio,temp_min,temp_max,temp_pro
AMAZONAS,LETICIA,16.2,36.4,25.72852643
AMAZONAS,PUERTO NARIÑO,18.8,34.8,25.63348972
ANTIOQUIA,ABRIAQUÍ,10.4,27.2,16.86518259
ANTIOQUIA,ANGOSTURA,12.2,29,18.91710309
ANTIOQUIA,CAREPA,21.5,34.4,26.82047788
ANTIOQUIA,CAÑASGORDAS,15.7,28.9,20.29927273
ANTIOQUIA,CHIGORODÓ,21.7,36.2,26.9831733
ANTIOQUIA,CIUDAD BOLÍVAR,15.26053,33.78166,21.92498097
ANTIOQUIA,COCORNÁ,14.2262,30.63609,20.87126467
ANTIOQUIA,CONCORDIA,11.78616,29.10507,17.99768194
ANTIOQUIA,ITUANGO,13.3,24.3,17.54130435
ANTIOQUIA,MEDELLÍN,15.1,31.5,21.55272474
ANTIOQUIA,RETIRO,6.2,22.1,13.64195514
ANTIOQUIA,RIONEGRO,8.6,27,16.9206815
ANTIOQUIA,SAN ROQUE,16.4,31.1,22.95067079
ANTIOQUIA,SANTA ROSA DE OSOS,0.8,22.6,12.8919919
ANTIOQUIA,SANTUARIO,10.6,23.6,15.22458746
ANTIOQUIA,SONSÓN,11.2,30.62462,18.84968825
ANTIOQUIA,VALDIVIA,16.4,28.5,21.13945906
ANTIOQUIA,VENECIA,14.38291,31.08859,20.01903905
ANTIOQUIA,YOLOMBÓ,16.9,32,22.17744485
ARAUCA,ARAUCA,17.5,37.4,26.21881944
ARAUCA,SARAVENA,0.1,35.2,12.89772504
ARCHIPIELAGO DE SAN ANDRES  PROVIDENCIA Y SANTA CATALINA,SAN ANDRES Y  PROVIDENCIA (SANTA ISABEL),24.2,32,28.68886691
ATLANTICO,BARRANQUILLA,22.7,33.7,26.83845391
ATLANTICO,MANATÍ,21.9,39,27.97788235
ATLANTICO,REPELÓN,19.3,36.6,27.72799448
ATLÁNTICO,SABANALARGA,21.1,36,26.79185597
ATLÁNTICO,SOLEDAD,22.2,41.4,27.47378865
BOGOTA,"BOGOTA, D.C",0.108,45.656,11.49721191
BOGOTA D.C.,"BOGOTA, D.C",4.4,22.2,14.06626657
BOLIVAR,ACHÍ,21.1,35.4,27.37761271
BOLIVAR,ARJONA,20.5,38.1,28.34097222
BOLIVAR,CARTAGENA DE INDIAS,21.7,37.6,28.19715389
BOLIVAR,EL CARMÉN DE BOLÍVAR,20.2,37.9,26.56068376
BOLIVAR,EL GUAMO,27.6,50,37.88233974
BOLIVAR,SANTA CATALINA,22.9,33.1,28.23359155
BOLIVAR,SANTA ROSA DEL SUR,14.4,30.6,21.56083108
BOYACÁ,AQUITANIA,0.1,20.6,10.92909614
BOYACÁ,BOYACÁ,1.6,18.5,9.158357771
BOYACÁ,CHINAVITA,9.6,26.5,16.37879215
BOYACÁ,CHITA,2.2,25.6,12.15610732
BOYACÁ,CUÍTIVA,3.8,21.4,12.2453182
BOYACÁ,EL ESPINO,4,18.7,9.844441305
BOYACÁ,GUACAMAYAS,7.9,23.2,13.66362622
BOYACÁ,GUAYATÁ,11,31.7,19.10973004
BOYACÁ,GUICÁN,2.2,18.9,9.011847418
BOYACÁ,LA CAPILLA,11.7,29.3,17.66379772
BOYACÁ,MONGUA,2.6,21.9,11.88218446
BOYACÁ,MONIQUIRÁ,8.85416,31.62795,18.91503136
BOYACÁ,MOTAVITA,3.8,20.5,9.793853941
BOYACÁ,PAIPA,1.1,26.3,13.21035396
BOYACÁ,PAUNA,15.38855,28.78799,20.19240767
BOYACÁ,PESCA,4,22.4,12.56190122
BOYACÁ,PISVA,12.5,27.3,18.98112786
BOYACÁ,PÁEZ,17.11,43.62,20.57521288
BOYACÁ,QUÍPAMA,15.3,30.8,21.2543578
BOYACÁ,RÁQUIRA,5.9,27.6,16.01159103
BOYACÁ,SAMACÁ,3.2,24.3,12.86111111
BOYACÁ,SAN PABLO DE BORBUR,18.5,33.1,24.23647177
BOYACÁ,SANTA MARÍA,15.6,28.6,20.18588503
BOYACÁ,SIACHOQUE,0.3,22.6,12.52609264
BOYACÁ,SOCHA,7.5,27.4,15.82855944
BOYACÁ,SOCOTÁ,0.2,15,6.601994178
BOYACÁ,SOGAMOSO,0.1,27.1,14.9626575
BOYACÁ,SOTAQUIRÁ,3.8,23.3,13.25368192
BOYACÁ,VENTAQUEMADA,2.7,14.9,8.181980704
BOYACÁ,VILLA DE LEIVA,6.3,26.9,16.48060832
BOYACÁ,ZETAQUIRÁ,13.2,29,19.60050992
CALDAS,ANSERMA,12,31.45695,19.53991794
CALDAS,BELALCAZAR,0.02541351,49.88592,21.79881157
CALDAS,CHINCHINA,14.2001,31.99897,20.78876025
CALDAS,MANIZALES,1.994863,34.26212,16.95146733
CALDAS,MANZANARES,10.9,32.41089,20.75350694
CALDAS,MARULANDA,8.6,26.1,15.24960305
CALDAS,PENSILVANIA,14.43215,32.1964,19.79050643
CALDAS,RIOSUCIO,10.8,25.9,16.13368242
CALDAS,SALAMINA,4,30.04876,17.7061978
CALDAS,SUPIA,15.69588,34.07962,22.23290815
CALDAS,VILLAMARIA,0.1,44.9,8.244828394
CAQUETA,EL DONCELLO,19.3,33.6,25.38020281
CAQUETA,EL PAUJIL,14.87276,29.38722,20.38855634
CAQUETA,FLORENCIA,19.2,35.4,26.74043993
CAQUETA,SAN VICENTE DEL CAGUÁN,22.2,36.2,28.9562753
CAQUETA,SOLANO,19.7,36,26.15144682
CASANARE,MONTERREY,17.6,31.2,22.92435037
CASANARE,OROCUÉ,20.1,35.5,26.73613537
CASANARE,PAZ DE ARIPORO,18.4,35.3,26.59015246
CASANARE,TAURAMENA,20.04,32.06,25.67985626
CASANARE,TÁMARA,17.00508,30.51138,22.37218182
CASANARE,YOPAL,20.3,34.3,26.80586832
CAUCA,BALBOA,13.3,29.98577,18.92484672
CAUCA,CORINTO,18.1,49.7,27.65606524
CAUCA,EL TAMBO,24.1,24.1,24.1
CAUCA,INZÁ,12.1,29.8,18.43049581
CAUCA,PATÍA (EL BORDO),21.7,34.9,28.71868132
CAUCA,PIENDAMÓ,12.32877,30.21441,18.90950418
CAUCA,POPAYÁN,9.6,28.6,16.62132179
CAUCA,PURACÉ (COCONUCO),3,16.7,9.000981461
CAUCA,TORIBÍO,10.8,29.3,18.07753447
CESAR,AGUACHICA,23.3,38.1,32.53507246
CESAR,AGUSTÍN CODAZZI,15.8,17.9,16.9375
CESAR,CHIMICHAGUA,8.9,31.9,28.23387097
CESAR,CURUMANÍ,18.4,34.4,25.44360555
CESAR,PUEBLO BELLO,10.37373,31.70884,20.8283951
CESAR,VALLEDUPAR,12,39.2,27.65988439
CHOCO,EL CARMEN,13.16503,29.63367,18.64682473
CHOCO,QUIBDÓ,21.8,34.3,25.87135685
CHOCO,UNGUÍA,22.6,50,33.93333333
CHOCÓ,BAHÍA SOLANO (MUTIS),21.8,32.4,25.87820655
CHOCÓ,BOJAYÁ (BELLAVISTA),22.7,34,25.74106729
CHOCÓ,CÉRTEGUI,15.9,35,23.7055337
CHOCÓ,EL ATRATO,21.8,35.6,26.14202234
CHOCÓ,ISTMINA,21.6,34.6,25.75679934
CHOCÓ,SAN JOSÉ DEL PALMAR,16.6,28.7,20.42216384
CHOCÓ,UNIÓN PANAMERICANA,21.5,34.8,25.38230168
CORDOBA,MONTERÍA,20.9,35.1,26.3395078
CORDOBA,PLANETA RICA,21,37.7,27.67168459
CORDOBA,PUERTO ESCONDIDO,21.2,34.6,27.66913114
CORDOBA,PUERTO LIBERTADOR,20.6,35.2,26.24225167
CORDOBA,SAHAGÚN,20.2,37.9,27.4545236
CUNDINAMARCA,ANAPOIMA,17.3,34.2,24.4232375
CUNDINAMARCA,BOJACÁ,7.5,19.9,12.13390133
CUNDINAMARCA,CABRERA,0.1,18.3,10.48074383
CUNDINAMARCA,CACHIPAY,14.5,26.4,19.11681941
