Departamento,Municipio,prec_min,prec_max,prec_pro
AMAZONAS,LETICIA,0.01,16.25,0.386244799
AMAZONAS,PUERTO NARIÑO,0.1,17.9,1.02637644
ANTIOQUIA,ANGOSTURA,0.2,12.2,0.757503206
ANTIOQUIA,BELLO,0.1,7.6,0.270588235
ANTIOQUIA,CAREPA,0.2,16.6,1.407027027
ANTIOQUIA,CAUCASIA,0.2,21,1.145801527
ANTIOQUIA,CHIGORODÓ,0.1,22.6,0.802479339
ANTIOQUIA,CIUDAD BOLÍVAR,0.1,8.1,0.437178052
ANTIOQUIA,COCORNÁ,0.1,10.1,0.526085248
ANTIOQUIA,CONCORDIA,0.1,6.7,0.381245768
ANTIOQUIA,CÁCERES,0.1,30,2.661725293
ANTIOQUIA,DABEIBA,0.2,13.6,0.685771704
ANTIOQUIA,MEDELLÍN,0.003,15.257,0.274632468
ANTIOQUIA,NECHÍ,0.1,26.7,1.464727723
ANTIOQUIA,PUERTO NARE,0.2,16.6,0.931926606
ANTIOQUIA,RETIRO,0.2,17.2,0.474058127
ANTIOQUIA,RIONEGRO,0.003,20.4,0.422525792
ANTIOQUIA,SAN ROQUE,0.2,15.6,0.6814562
ANTIOQUIA,SANTA BÁRBARA,0.1,0.4,0.2
ANTIOQUIA,SANTA FE DE ANTIOQUIA,0.1,15.2,0.564283026
ANTIOQUIA,SANTA ROSA DE OSOS,0.1,8.2,0.308575581
ANTIOQUIA,SANTUARIO,0.2,23,0.809850107
ANTIOQUIA,SONSÓN,0.1,6.2,0.28248731
ANTIOQUIA,TURBO,0.2,20.4,1.415189873
ANTIOQUIA,VALDIVIA,0.1,0.1,0.1
ANTIOQUIA,VENECIA,0.1,29.8,1.494052917
ANTIOQUIA,VIGIA DEL FUERTE,0.2,3.8,0.242758621
ANTIOQUIA,YOLOMBÓ,0.1,2.4,0.125149701
ANTIOQUIA,YONDÓ (CASABE),0.2,17.8,1.70941704
ARAUCA,ARAUCA,0.1,19.6,0.468537731
ARAUCA,ARAUQUITA,0.1,1.1,0.466666667
ARAUCA,SARAVENA,0.1,12.5,0.612945699
ARAUCA,TAME,0.2,15.4,1.12068708
ARCHIPIELAGO DE SAN ANDRES  PROVIDENCIA Y SANTA CATALINA,SAN ANDRES Y  PROVIDENCIA (SANTA ISABEL),0.1,18.2,1.002822086
ATLANTICO,BARRANQUILLA,0.1,18.4,1.422580645
ATLANTICO,MANATÍ,0.2,19,1.102905983
ATLANTICO,REPELÓN,0.1,20.2,1.010362694
ATLÁNTICO,SABANALARGA,0.1,2.5,0.324859875
ATLÁNTICO,SOLEDAD,0.01,13,0.385977078
ATLÁNTICO,SUAN,0.1,7.2,0.391304348
BOGOTA,"BOGOTA, D.C",0.1,15.6,0.432555325
