Departamento,Municipio,Estado,Topografia,Drenaje,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Fósforo (P) Bray II mg/kg,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Aluminio (Al) intercambiable cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Magnesio (Mg) intercambiable cmol(+)/kg,Potasio (K) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,capacidad de intercambio cationico (CICE) suma de bases cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,Cultivo
85,85279,3,10,20,4.52,1.819464146,3.674129577,2.905759162,6.53801009,6.120515817,1.41826722,0.29127727,0.060037956,0.11119178,8.418784316,0.0940552,990.539,1,1,1,0.087982833,42,42,294,7,Frutales
25,25491,2,10,22,5.27,8.862592037,9.196383099,6.570680628,0.183594667,0,13.68806825,0.44225629,0.15220494,0.14,14.56612415,0.4269472,756.162,8.167,8.495,192.775,0.087982833,3,3,45,15,Forestal
25,25123,3,11,20,5.44,7.238601526,26.10598287,11.40789474,0.228982409,0.152481468,7.915859,1.71218174,0.297770256,0.13166944,10.28646285,0.4031692,1786.911,1.392,10.884,51.975,0.28111588,19,19,342,18,Frutales
25,25154,2,10,20,5.05,2.313384827,13.88110522,3.513157895,2.25859922,1.870439342,3.06599554,4.01,0.395057628,0.16736181,7.365486208,0.1468952,2084.817,1.14,3.107,2.685,0.087982833,7,7,84,12,Pastos
25,25154,2,10,20,5.16,4.570938515,32.67649674,14.82894737,2.862280117,2.44986892,3.36275791,1.31029514,0.5542398,0.15195572,8.241528687,0.2446492,1057.925,1,2.822,1,0.173819742,7,7,84,12,Pastos
25,25154,2,10,20,4.99,3.329671882,7.224702284,3.513157895,2.779013787,2.307552883,3.62614412,1.74494817,0.201833316,0.20678609,8.558725483,0.1992068,1456.371,1,6.262,1.084,0.087982833,7,7,84,12,Pastos
25,25154,2,10,20,5.19,20.92144565,6.895460848,8.513157895,2.071249976,1.829777617,3.68718736,0.55956373,0.228110472,0.14123844,6.687349978,0.3260228,435.71,1,2.261,1,0.130901288,7,7,84,12,Pastos
50,5313,2,11,20,5.34,2.324596322,5.793945492,1.699438202,0.70532408,0.534788893,2.93369859,0.6625698,0.07371108,0.10095295,4.4762565,0.1759572,4.01,3.015,14.251,1,0.186895339,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.16,1.552700335,5.880256967,6.053370787,1.442229835,1.216382579,1.23173401,0.30376834,0.1477035,0.14,3.225435685,0.1199468,245.443,1.568,8.003,1,0.142919965,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.08,1.70805047,16.19447828,1.83988764,1.073776957,0.922772991,2.42504152,0.6498977,0.148378716,0.11425386,4.411348753,0.1326284,288.376,2.2,10.241,1,0.142919965,625,625,8.375,13.4,Cacao
50,5313,2,11,20,4.76,1.504153417,19.53185533,3.103932584,1.315903134,1.048605672,3.15635271,0.68012971,0.226366164,0.10229261,5.481044328,0.4132088,381.392,2.515,13.892,2.063,0.186895339,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.32,1.846409185,11.31787992,2.120786517,0.347398427,0.241179305,2.42778627,0.53168511,0.121032468,0.14,3.527902275,0.2208712,191.565,1.52,6.674,1,0.164907652,625,625,8.375,13.4,Cacao
50,5313,2,11,20,4.82,2.674134128,10.48353566,3.384831461,2.20019004,1.908462323,1.99609199,0.45366118,0.090197604,0.14,4.840140814,0.2726544,383.526,2.055,16.009,1,0.164907652,625,625,8.375,13.4,Cacao
50,5313,2,11,20,4.93,1.807571651,12.39677336,5.632022472,1.379066484,1.080063842,2.15012736,0.69225872,0.264628404,0.13176513,4.617846098,0.2752964,252.494,1.929,24.573,1,0.186895339,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.31,2.467809729,6.470052049,1.980337079,1.242212558,1.048605672,3.33937264,0.57277892,0.098525268,0.1110004,5.363889786,0.1321,469.15,2.507,9.052,1,0.208883026,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.37,1.74931535,26.68132254,3.946629213,0.72637853,0.566247063,2.26749287,0.36730987,0.060037956,0.14,3.521219226,0.1389692,417.043,2.648,6.73,1,0.31882146,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.25,2.089143772,27.19919139,6.755617978,0.547415704,0.440414382,3.50427722,0.69805168,0.094699044,0.15549625,4.999939898,0.2187576,519.134,4.241,12.702,1.577,0.208883026,625,625,8.375,13.4,Cacao
50,5313,2,11,20,4.96,1.892528757,6.757756967,3.244382022,1.789628262,1.551936394,1.51993276,0.44804925,0.09,0.17071096,3.988321232,0.1284012,409.508,2.601,8.88,1,0.252858399,625,625,8.375,13.4,Cacao
50,5313,2,11,20,4.86,1.887674065,29.457675,6.193820225,1.589610986,1.363187373,2.10665052,0.57096862,0.110622888,0.16429973,4.542152744,0.2018488,641.267,3.46,11.273,2.39,0.252858399,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.1,1.589110523,12.29607664,2.120786517,1.042195282,0.943745105,2.17406158,0.67234542,0.230473728,0.24649744,4.36557345,0.2018488,434.775,1.799,16.598,1,0.164907652,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5,1.407059582,10.36845369,4.087078652,0.989559157,0.786454254,1.87718942,0.40351587,0.06836562,0.10573745,3.444367517,0.1854684,284.009,2.699,8.412,1.078,0.208883026,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.02,2.079434389,15.77730615,2.542134831,1.673828786,1.457561884,2.30591937,0.55467592,0.100944792,0.15903678,4.794405648,0.155878,367.576,3.023,7.054,1.014,0.142919965,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.46,1.754170042,11.63435533,2.401685393,0.336871202,0.262151418,3.86427863,1.10844669,0.094023828,0.12650218,5.53012253,0.1838832,319.825,2.854,7.382,1.681,0.186895339,625,625,8.375,13.4,Cacao
50,5313,2,11,20,5.39,1.569691756,17.74808484,2.120786517,0.736905755,0.629163403,2.8391694,0.46271268,0.09,0.15224279,4.251030625,0.103038,212.256,2.196,5.766,1,0.142919965,625,625,8.375,13.4,Cacao
20,20570,2,10,20,4.91,1.538136259,9.721117623,3.384831461,1.55802931,1.226868636,3.14691077,1.13306677,0.200370348,0.17769633,6.216073528,0.2409504,275.924,1,3.456,1,0.186895339,420,420,2.529,6.03,Cacao
20,20570,2,10,20,5.1,1.494444034,10.21021598,3.244382022,1.294848684,1.101035955,2.92985594,1.08038704,0.160870212,0.13406169,5.600023566,0.2182292,365.761,1,3.606,1,0.31882146,420,420,2.529,6.03,Cacao
20,20570,2,10,20,5.29,1.647366824,10.39722418,3.946629213,0.610579054,0.534788893,4.02094896,1.17796221,0.269973864,0.38505656,6.464520648,0.2235132,329.549,1,3.967,1,0.186895339,420,420,2.529,6.03,Cacao
20,20570,2,10,20,5.1,2.802783459,9.088166803,3.806179775,0.74743298,0.63964946,3.77084734,0.76539484,0.09,0.14401345,5.48768861,0.1606336,309.012,1,23.775,2.127,0.208883026,420,420,2.529,6.03,Cacao
20,20570,2,10,20,5.06,2.737245121,3.87,6.053370787,0.968504707,0.807426367,3.26789935,0.70511185,0.09,0.1253539,5.126869807,0.1775424,337.326,1,24.382,2.069,0.186895339,420,420,2.529,6.03,Cacao
20,20570,2,10,20,5.23,2.618305173,3.87,1.418539326,0.189490051,0.115346624,3.28305037,1.01286285,0.088453296,0.124397,4.698253567,0.2066044,313.764,2.318,15.788,1,0.164907652,420,420,2.529,6.03,Cacao
